seudonimo,ruta_cubo,ruta_power_bi,ruta_diccionario
Venta Equipos,"Provider=MSOLAP;Data Source=10.0.57.86;Initial Catalog=CB_BI_FlotHs;","https://app.powerbi.com/view?r=eyJrIjoiYWY2ZDc2NjMtMTk0Ny00NjFiLWIxN2YtZTM2MThiY2ExOWJmIiwidCI6IjU0NWQ1NWI1LWMyNzAtNGY3YS1hYTVkLWIzM2FhYWRkYTllNyIsImMiOjR9",metadata/diccionarios_cubos/diccionario_datos_cubo_BI_FlotHs_Mod01_Equipo.csv
Finanzas,"Provider=MSOLAP;Data Source=10.0.57.86;Initial Catalog=CB_BI_OTIF;","https://app.powerbi.com/view?r=eyJrIjoiMDM5ZWMwYTItZTYyNS00NmU0LWEyNWUtMmIxNzAxYjkwODJkIiwidCI6IjU0NWQ1NWI1LWMyNzAtNGY3YS1hYTVkLWIzM2FhYWRkYTllNyIsImMiOjR9",metadata/diccionarios_cubos/diccionario_datos_cubo_BI_OTIF_TH_AcumPedido.csv|metadata/diccionarios_cubos/diccionario_datos_cubo_BI_OTIF_TH_OTIF.csv|metadata/diccionarios_cubos/diccionario_datos_cubo_BI_OTIF_TH_PedidoVersModif.csv
